date,basedate,tmax
1915-03-31,42091,43
1915-04-01,42092,43
1915-04-02,42093,47
1915-04-03,42094,46
1915-04-04,42095,56
1915-04-05,42096,62
1915-04-06,42097,72
1915-04-07,42098,72
1915-04-08,42099,67
1915-04-09,42100,78
1915-04-10,42101,81
1915-04-11,42102,79
1915-04-12,42103,64
1915-04-13,42104,63
1915-04-14,42105,57
1915-04-15,42106,60
1915-04-16,42107,68
1915-04-17,42108,62
1915-04-18,42109,71
1915-04-19,42110,82
1915-04-20,42111,85
1915-04-21,42112,80
1915-04-22,42113,68
1915-04-23,42114,76
1915-04-24,42115,82
1915-04-25,42116,88
1915-04-26,42117,93
1915-04-27,42118,91
1915-04-28,42119,87
1915-04-29,42120,86
1915-04-30,42121,82
1915-05-01,42122,71
1915-05-02,42123,69
1915-05-03,42124,73
1915-05-04,42125,78
1915-05-05,42126,77
1915-05-06,42127,74
1915-05-07,42128,75
1915-05-08,42129,77
1915-05-09,42130,78
1915-05-10,42131,68
1915-05-11,42132,74
1915-05-12,42133,74
1915-05-13,42134,78
1915-05-14,42135,77
1915-05-15,42136,70
1915-05-16,42137,70
1915-05-17,42138,65
1915-05-18,42139,59
1915-05-19,42140,64
1915-05-20,42141,62
1915-05-21,42142,78
1915-05-22,42143,75
1915-05-23,42144,80
1915-05-24,42145,79
1915-05-25,42146,74
1915-05-26,42147,79
1915-05-27,42148,73
1915-05-28,42149,74
1915-05-29,42150,74
1915-05-30,42151,58
1915-05-31,42152,69
1915-06-01,42153,70
1915-06-02,42154,68
1915-06-03,42155,65
1915-06-04,42156,54
1915-06-05,42157,69
1915-06-06,42158,75
1915-06-07,42159,82
1915-06-08,42160,81
